idx,n,edges,root_children,total_nodes,max_depth,est_cover,truth_cover
0,827,68444,2,10001,107,795,800
1,619,38000,2,10001,108,589,595
2,617,38246,2,10001,113,587,591
3,622,38571,2,10001,112,591,599
4,913,83374,2,10001,113,881,888
5,883,77763,2,10001,112,852,857
6,640,41071,2,10001,111,609,617
7,800,63998,2,10001,107,770,775
8,616,38318,2,10001,111,586,590
9,762,58009,2,10001,109,732,736
10,942,88585,2,10001,116,909,917
11,981,96513,2,10001,111,949,954
