idx,n,edges,root_children,total_nodes,max_depth,est_cover,truth_cover
0,78,580,2,1001,29,60,61
1,79,636,2,1001,34,62,63
2,177,3223,2,1001,29,156,158
3,137,1807,2,1001,32,116,117
4,54,287,2,1001,29,38,40
5,147,2105,2,1001,33,125,126
6,150,2209,2,1001,34,128,131
7,116,1352,2,1001,31,97,98
8,181,3382,2,1001,45,159,163
9,192,3660,2,1001,35,168,172
10,54,277,2,1001,30,38,39
11,193,3779,2,1001,36,169,173
12,135,1846,2,1001,30,116,118
13,180,3202,2,1001,28,157,160
14,87,725,2,1001,39,69,71
15,60,359,2,1001,31,45,46
16,108,1171,2,1001,28,89,91
17,194,3778,2,1001,40,171,173
18,180,3141,2,1001,35,157,160
19,151,2343,2,1001,26,129,133
20,166,2721,2,1001,35,144,147
21,146,2134,2,1001,45,125,128
22,158,2475,2,1001,40,136,138
23,138,1941,2,1001,22,117,117
24,92,797,2,1001,41,74,74
25,97,954,2,1001,33,79,81
26,53,268,2,1001,28,38,39
27,167,2706,2,1001,35,144,147
28,83,663,2,1001,32,63,66
29,103,1053,2,1001,32,84,86
30,138,1889,2,1001,33,117,120
31,174,2974,2,1001,42,150,156
32,187,3498,2,1001,43,163,166
33,68,461,2,1001,32,50,52
34,62,374,2,1001,29,46,47
35,93,815,2,1001,29,75,77
36,110,1218,2,1001,29,90,94
37,79,638,2,1001,39,63,64
38,84,678,2,1001,41,66,68
39,59,353,2,1001,33,43,45
40,71,502,2,1001,31,54,56
41,102,997,2,1001,35,83,85
42,65,419,2,1001,37,49,51
43,178,3209,2,1001,33,156,162
44,100,976,2,1001,34,81,82
45,116,1251,2,1001,43,94,96
46,190,3651,2,1001,34,167,170
47,53,284,2,1001,29,39,40
48,197,3830,2,1001,36,173,177
49,177,3116,2,1001,28,154,158
