idx,n,edges,root_children,total_nodes,max_depth,est_cover,truth_cover
0,70,464,2,6387,39,52,54
1,64,392,2,2781,35,47,50
2,34,108,2,81,12,22,23
3,58,325,2,1413,30,42,44
4,40,157,2,221,18,27,28
5,63,419,2,3403,36,47,49
6,52,263,2,953,27,37,37
7,40,136,2,261,17,27,28
8,32,91,2,25,9,19,20
9,40,161,2,191,16,27,28
10,58,342,2,1929,33,43,46
11,49,249,2,659,24,36,36
12,53,305,2,1185,28,38,39
13,53,279,2,785,28,38,39
14,53,283,2,855,26,38,39
15,61,367,2,2737,33,44,46
16,50,270,2,679,26,36,37
17,38,141,2,179,16,26,28
18,44,191,2,337,20,30,32
19,58,343,2,2027,32,43,44
20,52,272,2,973,27,37,38
21,66,398,2,4557,34,48,49
22,38,131,2,69,13,24,24
23,68,441,2,9147,41,52,53
24,64,406,2,4205,36,48,49
25,35,103,2,57,12,22,22
26,47,184,2,417,20,32,33
27,56,296,2,619,25,38,40
28,47,220,2,221,18,31,33
29,46,199,2,439,21,31,32
30,65,412,2,3439,36,48,49
31,39,162,2,191,15,26,26
32,47,210,2,499,22,33,33
33,67,469,2,6597,39,51,52
34,70,472,2,5305,36,51,52
35,67,434,2,4129,35,49,52
36,52,288,2,1333,28,38,39
37,40,148,2,117,16,26,27
38,34,120,2,63,11,22,22
39,47,221,2,647,23,33,35
40,51,257,2,909,25,36,40
41,51,272,2,1257,26,37,38
42,54,272,2,1053,30,38,38
43,51,261,2,987,28,36,38
44,42,192,2,361,21,30,30
45,69,488,2,7971,41,53,56
46,57,337,2,1891,30,42,42
47,38,121,2,93,12,24,24
48,33,101,2,61,13,21,21
49,59,335,2,1811,29,43,46
