idx,n,edges,root_children,total_nodes,best_visits,best_value,est_cover,truth_cover
0,18,39,10,11,1,0.0909091,11,10
1,15,33,10,11,1,0.111111,9,9
2,22,51,10,11,1,0.0714286,14,13
3,15,29,10,11,1,0.125,8,8
4,19,44,10,11,1,0.0833333,12,11
5,15,18,10,11,1,0.166667,6,6
6,9,5,9,10,2,0.666667,3,2
7,19,44,10,11,1,0.0769231,13,11
8,11,12,10,11,1,0.2,5,5
9,9,11,9,10,2,0.4,5,4
10,13,18,10,11,1,0.166667,6,6
11,17,29,10,11,1,0.111111,9,8
12,10,13,10,11,1,0.2,5,5
13,9,8,9,10,2,0.5,4,4
14,10,7,10,11,1,0.333333,3,3
15,17,38,10,11,1,0.0909091,11,10
16,10,9,10,11,1,0.333333,3,3
17,15,19,10,11,1,0.166667,6,6
18,13,21,10,11,1,0.142857,7,7
19,22,59,10,11,1,0.0666667,15,14
20,15,27,10,11,1,0.111111,9,9
21,13,18,10,11,1,0.166667,6,6
22,20,46,10,11,1,0.0833333,12,11
23,18,43,10,11,1,0.0909091,11,11
24,20,55,10,11,1,0.0769231,13,12
