idx,n,edges,root_children,total_nodes,best_visits,best_value,est_cover,truth_cover
0,78,580,50,51,1,0.0140845,71,61
1,79,636,50,51,1,0.0138889,72,63
2,177,3223,50,51,1,0.00591716,169,158
3,137,1807,50,51,1,0.00763359,131,117
4,54,287,50,51,1,0.0212766,47,40
5,147,2105,50,51,1,0.00704225,142,126
6,150,2209,50,51,1,0.00680272,147,131
7,116,1352,50,51,1,0.00892857,112,98
8,181,3382,50,51,1,0.00574713,174,163
9,192,3660,50,51,1,0.00540541,185,172
10,54,277,50,51,1,0.0212766,47,39
11,193,3779,50,51,1,0.00531915,188,173
12,135,1846,50,51,1,0.00763359,131,118
13,180,3202,50,51,1,0.00578035,173,160
14,87,725,50,51,1,0.0123457,81,71
15,60,359,50,51,1,0.0185185,54,46
16,108,1171,50,51,1,0.00990099,101,91
17,194,3778,50,51,1,0.00531915,188,173
18,180,3141,50,51,1,0.00584795,171,160
19,151,2343,50,51,1,0.00680272,147,133
20,166,2721,50,51,1,0.00625,160,147
21,146,2134,50,51,1,0.0070922,141,128
22,158,2475,50,51,1,0.00657895,152,138
23,138,1941,50,51,1,0.00740741,135,117
24,92,797,50,51,1,0.0117647,85,74
25,97,954,50,51,1,0.010989,91,81
26,53,268,50,51,1,0.0212766,47,39
27,167,2706,50,51,1,0.00621118,161,147
28,83,663,50,51,1,0.0131579,76,66
29,103,1053,50,51,1,0.0103093,97,86
30,138,1889,50,51,1,0.00746269,134,120
31,174,2974,50,51,1,0.00598802,167,156
32,187,3498,50,51,1,0.00552486,181,166
33,68,461,50,51,1,0.0163934,61,52
34,62,374,50,51,1,0.0175439,57,47
35,93,815,50,51,1,0.0116279,86,77
36,110,1218,50,51,1,0.00952381,105,94
37,79,638,50,51,1,0.0138889,72,64
38,84,678,50,51,1,0.012987,77,68
39,59,353,50,51,1,0.0185185,54,45
40,71,502,50,51,1,0.0153846,65,56
41,102,997,50,51,1,0.0105263,95,85
42,65,419,50,51,1,0.0169492,59,51
43,178,3209,50,51,1,0.00581395,172,162
44,100,976,50,51,1,0.0106383,94,82
45,116,1251,50,51,1,0.00892857,112,96
46,190,3651,50,51,1,0.00543478,184,170
47,53,284,50,51,1,0.0208333,48,40
48,197,3830,50,51,1,0.0052356,191,177
49,177,3116,50,51,1,0.00588235,170,158
