idx,n,edges,root_children,total_nodes,best_visits,best_value,est_cover,truth_cover
0,18,39,18,101,1,0.1,10,10
1,15,33,15,101,1,0.111111,9,9
2,22,51,22,101,1,0.0666667,15,13
3,15,29,15,101,1,0.125,8,8
4,19,44,19,101,1,0.0909091,11,11
5,15,18,15,16,9,0.166667,6,6
6,9,5,9,10,14,0.5,2,2
7,19,44,19,101,1,0.0909091,11,11
8,11,12,11,12,18,0.2,5,5
9,9,11,9,64,12,0.25,4,4
10,13,18,13,41,13,0.166667,6,6
11,17,29,17,101,1,0.125,8,8
12,10,13,10,57,14,0.2,5,5
13,9,8,9,10,22,0.25,4,4
14,10,7,10,11,14,0.333333,3,3
15,17,38,17,101,1,0.1,10,10
16,10,9,10,11,15,0.333333,3,3
17,15,19,15,67,9,0.166667,6,6
18,13,21,13,99,1,0.142857,7,7
19,22,59,22,101,1,0.0666667,15,14
20,15,27,15,101,1,0.111111,9,9
21,13,18,13,61,11,0.166667,6,6
22,20,46,20,101,1,0.0909091,11,11
23,18,43,18,101,1,0.0909091,11,11
24,20,55,20,101,1,0.0833333,12,12
